"","UTC_START_TIME","LOCATIONID","USAGE"
"433","2016-06-06 04:00:00.0","18594",4.719
"434","2016-06-07 04:00:00.0","18594",3.87
"435","2016-06-08 04:00:00.0","18594",3.584
"436","2016-06-09 04:00:00.0","18594",7.615
"437","2016-06-10 04:00:00.0","18594",4.048
"438","2016-06-11 04:00:00.0","18594",13.321
"439","2016-06-12 04:00:00.0","18594",6.555
"440","2016-06-13 04:00:00.0","18594",4.285
"441","2016-06-14 04:00:00.0","18594",5.534
"442","2016-06-15 04:00:00.0","18594",4.954
"443","2016-06-16 04:00:00.0","18594",4.491
"444","2016-06-17 04:00:00.0","18594",4.884
"445","2016-06-18 04:00:00.0","18594",4.203
"446","2016-06-19 04:00:00.0","18594",7.016
"447","2016-06-20 04:00:00.0","18594",8.165
"448","2016-06-21 04:00:00.0","18594",4.296
"449","2016-06-22 04:00:00.0","18594",5.241
"450","2016-06-23 04:00:00.0","18594",5.855
"451","2016-06-24 04:00:00.0","18594",3.677
"452","2016-06-25 04:00:00.0","18594",8.238
"453","2016-06-26 04:00:00.0","18594",6.677
"454","2016-06-27 04:00:00.0","18594",5.432
"455","2016-06-28 04:00:00.0","18594",4.842
"456","2016-06-29 04:00:00.0","18594",5.072
"457","2016-06-30 04:00:00.0","18594",4.436
"458","2016-07-01 04:00:00.0","18594",5.959
"459","2016-07-02 04:00:00.0","18594",12.109
"460","2016-07-03 04:00:00.0","18594",14.011
"461","2016-07-04 04:00:00.0","18594",12.193
"462","2016-07-05 04:00:00.0","18594",11.881
"463","2016-07-06 04:00:00.0","18594",11.216
"464","2016-07-07 04:00:00.0","18594",11.572
"465","2016-07-08 04:00:00.0","18594",10.335
"466","2016-07-09 04:00:00.0","18594",13.684
"467","2016-07-10 04:00:00.0","18594",13.564
"468","2016-07-11 04:00:00.0","18594",5.603
"469","2016-07-12 04:00:00.0","18594",7.76
"470","2016-07-13 04:00:00.0","18594",8.646
"471","2016-07-14 04:00:00.0","18594",6.303
"472","2016-07-15 04:00:00.0","18594",4.537
"473","2016-07-16 04:00:00.0","18594",5.512
"474","2016-07-17 04:00:00.0","18594",6.847
"475","2016-07-18 04:00:00.0","18594",5.624
"476","2016-07-19 04:00:00.0","18594",5.917
"477","2016-07-20 04:00:00.0","18594",4.727
"478","2016-07-21 04:00:00.0","18594",5.398
"479","2016-07-22 04:00:00.0","18594",6.99
"480","2016-07-23 04:00:00.0","18594",6.687
"481","2016-07-24 04:00:00.0","18594",6.946
"482","2016-07-25 04:00:00.0","18594",4.512
"483","2016-07-26 04:00:00.0","18594",6.323
"484","2016-07-27 04:00:00.0","18594",4.827
"485","2016-07-28 04:00:00.0","18594",6.939
"486","2016-07-29 04:00:00.0","18594",4.978
"487","2016-07-30 04:00:00.0","18594",4.24
"488","2016-07-31 04:00:00.0","18594",7.732
"489","2016-08-01 04:00:00.0","18594",6.442
"490","2016-08-02 04:00:00.0","18594",4.928
"491","2016-08-03 04:00:00.0","18594",4.258
"492","2016-08-04 04:00:00.0","18594",5.434
"493","2016-08-05 04:00:00.0","18594",4.625
"494","2016-08-06 04:00:00.0","18594",5.286
"495","2016-08-07 04:00:00.0","18594",5.882
"496","2016-08-08 04:00:00.0","18594",6.236
"497","2016-08-09 04:00:00.0","18594",5.562
"498","2016-08-10 04:00:00.0","18594",7.152
"499","2016-08-11 04:00:00.0","18594",6.225
"500","2016-08-12 04:00:00.0","18594",8.652
"501","2016-08-13 04:00:00.0","18594",18.421
"502","2016-08-14 04:00:00.0","18594",8.725
"503","2016-08-15 04:00:00.0","18594",10.063
"504","2016-08-16 04:00:00.0","18594",13.334
"505","2016-08-17 04:00:00.0","18594",8.858
"506","2016-08-18 04:00:00.0","18594",6.575
"507","2016-08-19 04:00:00.0","18594",5.697
"508","2016-08-20 04:00:00.0","18594",5.169
"509","2016-08-21 04:00:00.0","18594",8.256
"510","2016-08-22 04:00:00.0","18594",5.531
"511","2016-08-23 04:00:00.0","18594",5.064
"512","2016-08-24 04:00:00.0","18594",3.667
"513","2016-08-25 04:00:00.0","18594",5.793
"514","2016-08-26 04:00:00.0","18594",6.454
"515","2016-08-27 04:00:00.0","18594",6.615
"516","2016-08-28 04:00:00.0","18594",7.071
"517","2016-08-29 04:00:00.0","18594",6.007
"518","2016-08-30 04:00:00.0","18594",5.852
"519","2016-08-31 04:00:00.0","18594",6.921
"520","2016-09-01 04:00:00.0","18594",4.23
"521","2016-09-02 04:00:00.0","18594",4.148
"522","2016-09-03 04:00:00.0","18594",5.914
"523","2016-09-04 04:00:00.0","18594",6.011
"524","2016-09-05 04:00:00.0","18594",5.601
"525","2016-09-06 04:00:00.0","18594",4.85
"526","2016-09-07 04:00:00.0","18594",6.541
"527","2016-09-08 04:00:00.0","18594",5.041
"528","2016-09-09 04:00:00.0","18594",4.35
"529","2016-09-10 04:00:00.0","18594",10.864
"530","2016-09-11 04:00:00.0","18594",11.669
"531","2016-09-12 04:00:00.0","18594",4.127
"532","2016-09-13 04:00:00.0","18594",5.851
"533","2016-09-14 04:00:00.0","18594",3.732
"534","2016-09-15 04:00:00.0","18594",5.716
"535","2016-09-16 04:00:00.0","18594",3.415
"536","2016-09-17 04:00:00.0","18594",8.848
"537","2016-09-18 04:00:00.0","18594",5.203
"538","2016-09-19 04:00:00.0","18594",6.268
